txn_id,utr_ref,date,time,from_account_no,from_account_name,from_bank,to_account_no,to_account_name,to_bank,amount,mode
TXN01065,UTR743310812556,2024-03-17,06:28:33,86831863542,Neha Agarwal,Axis Bank,EXT082072761,Merchant/UPI Handle - Utility Payment,Payment Gateway,500,NEFT
TXN00659,UTR583136190479,2024-03-17,09:04:12,69705333835,Priya Singh,SBI,94695183670,Vivek Malhotra,Axis Bank,2500,Cash Deposit
TXN00732,UTR572767066377,2024-03-17,16:11:28,78264257436,Naveen Kumar Sharma,SBI,68815550998,Poonam Chawla,Punjab National Bank,1200,UPI
TXN00375,UTR666030506280,2024-03-17,20:38:46,80450816830,Chhotu Ansari,SBI,71327117523,Ishita Bose,SBI,500,Cash Withdrawal
TXN01085,UTR834199786406,2024-03-17,22:33:05,EXT113160374,Employer Pvt Ltd - Salary A/c,HDFC Bank,93902439957,Aditya Rathore,Axis Bank,18000,NEFT
TXN00585,UTR213275824820,2024-03-18,07:40:15,EXT113160374,Employer Pvt Ltd - Salary A/c,HDFC Bank,24798510995,Rustam Ali,Bank of Baroda,18000,NEFT
TXN01313,UTR181600530163,2024-03-19,13:44:10,EXT113160374,Employer Pvt Ltd - Salary A/c,HDFC Bank,76092570588,Deepak Yadav,SBI,18000,NEFT
TXN00481,UTR260925781087,2024-03-19,22:28:06,90413217740,Pappu Solanki,Kotak Mahindra Bank,08198427361,Amit Verma,SBI,7500,RTGS
TXN01160,UTR447771718446,2024-03-20,07:19:19,09094330418,Karan Malhotra,HDFC Bank,EXT082072761,Merchant/UPI Handle - Utility Payment,Payment Gateway,2500,NEFT
TXN01138,UTR674753100705,2024-03-20,17:17:58,71327117523,Ishita Bose,SBI,EXT082072761,Merchant/UPI Handle - Utility Payment,Payment Gateway,1200,Cash Withdrawal
TXN01354,UTR710064956505,2024-03-21,06:30:01,35059071685,Sunita Rawat,HDFC Bank,EXT082072761,Merchant/UPI Handle - Utility Payment,Payment Gateway,7500,NEFT
TXN00579,UTR619111902051,2024-03-21,07:39:22,24798510995,Rustam Ali,Bank of Baroda,55933722348,Vikas Tomar,ICICI Bank,500,Cash Deposit
TXN00214,UTR414502401604,2024-03-21,12:59:26,65580053757,Kavita Devi,Bank of Baroda,68815550998,Poonam Chawla,Punjab National Bank,1200,Cash Withdrawal
TXN01436,UTR358382581867,2024-03-21,17:22:43,54219677717,Deepak Chaudhary,ICICI Bank,65580053757,Kavita Devi,Bank of Baroda,60000,Cash Deposit
TXN00690,UTR697639997920,2024-03-22,08:01:09,EXT113160374,Employer Pvt Ltd - Salary A/c,HDFC Bank,41992454521,Anita Rani,Axis Bank,18000,NEFT
TXN01437,UTR153093354574,2024-03-22,08:26:34,65580053757,Kavita Devi,Bank of Baroda,68826141830,Suresh Kumar Jain,Axis Bank,17468,UPI
TXN01439,UTR686198691433,2024-03-22,20:13:52,65580053757,Kavita Devi,Bank of Baroda,10884387334,Yash Chopra,Bank of Baroda,13551,UPI
TXN00208,UTR914450927745,2024-03-22,22:48:35,EXT113160374,Employer Pvt Ltd - Salary A/c,HDFC Bank,65580053757,Kavita Devi,Bank of Baroda,22000,NEFT
TXN01438,UTR269014246701,2024-03-22,23:02:53,65580053757,Kavita Devi,Bank of Baroda,65117077513,Abid Khan,Kotak Mahindra Bank,13136,UPI
TXN00593,UTR838200335991,2024-03-22,23:10:18,EXT113160374,Employer Pvt Ltd - Salary A/c,HDFC Bank,49471531912,Mahesh Chand Gupta,ICICI Bank,60000,NEFT
TXN00547,UTR512822465748,2024-03-23,06:23:49,44396022575,Chandu Meena,Axis Bank,52365451928,Farhana Begum,Kotak Mahindra Bank,500,Cash Deposit
TXN00152,UTR734918921040,2024-03-23,07:34:51,54219677717,Deepak Chaudhary,ICICI Bank,EXT082072761,Merchant/UPI Handle - Utility Payment,Payment Gateway,1200,NEFT
TXN01326,UTR802746723720,2024-03-23,09:56:10,76092570588,Deepak Yadav,SBI,68815550998,Poonam Chawla,Punjab National Bank,500,UPI
TXN00368,UTR940436213814,2024-03-23,11:27:22,80450816830,Chhotu Ansari,SBI,EXT082072761,Merchant/UPI Handle - Utility Payment,Payment Gateway,7500,RTGS
TXN00734,UTR781143703459,2024-03-23,12:00:08,EXT113160374,Employer Pvt Ltd - Salary A/c,HDFC Bank,78264257436,Naveen Kumar Sharma,SBI,22000,NEFT
TXN00600,UTR152069778100,2024-03-23,13:11:03,49471531912,Mahesh Chand Gupta,ICICI Bank,88481678051,Munna Tyagi,Punjab National Bank,2500,RTGS
TXN00070,UTR768631237297,2024-03-23,18:41:42,EXT113160374,Employer Pvt Ltd - Salary A/c,HDFC Bank,18633362450,Ajay Yadav,HDFC Bank,45000,NEFT
TXN01163,UTR649316916863,2024-03-23,19:34:06,75073462726,Meera Nair,ICICI Bank,EXT082072761,Merchant/UPI Handle - Utility Payment,Payment Gateway,2500,UPI
TXN00240,UTR806942398746,2024-03-23,22:22:49,EXT113160374,Employer Pvt Ltd - Salary A/c,HDFC Bank,64733283579,Nikhil Sharma,Punjab National Bank,60000,NEFT
TXN00210,UTR967402156571,2024-03-24,08:03:28,EXT113160374,Employer Pvt Ltd - Salary A/c,HDFC Bank,65580053757,Kavita Devi,Bank of Baroda,18000,NEFT
TXN00813,UTR153521987913,2024-03-24,12:19:34,EXT113160374,Employer Pvt Ltd - Salary A/c,HDFC Bank,35244533458,Sanjay Bhardwaj,Punjab National Bank,60000,NEFT
TXN00541,UTR562741571511,2024-03-24,15:17:08,44396022575,Chandu Meena,Axis Bank,78264257436,Naveen Kumar Sharma,SBI,7500,RTGS
TXN00471,UTR355901668058,2024-03-25,07:42:03,EXT113160374,Employer Pvt Ltd - Salary A/c,HDFC Bank,90413217740,Pappu Solanki,Kotak Mahindra Bank,45000,NEFT
TXN01199,UTR835174725659,2024-03-25,08:27:37,EXT113160374,Employer Pvt Ltd - Salary A/c,HDFC Bank,65117077513,Abid Khan,Kotak Mahindra Bank,18000,NEFT
TXN00785,UTR127226900897,2024-03-25,09:29:25,35244533458,Sanjay Bhardwaj,Punjab National Bank,68040380973,Sunil Malik,ICICI Bank,7500,NEFT
TXN01440,UTR690576191831,2024-03-25,11:00:21,65580053757,Kavita Devi,Bank of Baroda,23680352646,Simran Kaur,Kotak Mahindra Bank,15845,UPI
TXN00752,UTR316891213262,2024-03-25,12:09:11,EXT113160374,Employer Pvt Ltd - Salary A/c,HDFC Bank,78264257436,Naveen Kumar Sharma,SBI,18000,NEFT
TXN00377,UTR912820456933,2024-03-25,12:39:08,EXT113160374,Employer Pvt Ltd - Salary A/c,HDFC Bank,80450816830,Chhotu Ansari,SBI,18000,NEFT
TXN00229,UTR133532367709,2024-03-25,16:37:28,EXT113160374,Employer Pvt Ltd - Salary A/c,HDFC Bank,65580053757,Kavita Devi,Bank of Baroda,35000,NEFT
TXN00791,UTR635310862983,2024-03-25,17:04:24,35244533458,Sanjay Bhardwaj,Punjab National Bank,EXT082072761,Merchant/UPI Handle - Utility Payment,Payment Gateway,4000,Cash Deposit
TXN01179,UTR204079399113,2024-03-25,20:39:47,75073462726,Meera Nair,ICICI Bank,68040380973,Sunil Malik,ICICI Bank,2500,IMPS
TXN00548,UTR848432142811,2024-03-25,20:53:10,44396022575,Chandu Meena,Axis Bank,08198427361,Amit Verma,SBI,7500,IMPS
TXN01063,UTR746664406770,2024-03-25,23:36:37,86831863542,Neha Agarwal,Axis Bank,65117077513,Abid Khan,Kotak Mahindra Bank,2500,NEFT
TXN01113,UTR663026131006,2024-03-26,11:29:31,93902439957,Aditya Rathore,Axis Bank,EXT082072761,Merchant/UPI Handle - Utility Payment,Payment Gateway,7500,NEFT
TXN00081,UTR359909643115,2024-03-26,22:59:42,55933722348,Vikas Tomar,ICICI Bank,64281559570,Rohan Kapoor,HDFC Bank,4000,IMPS
TXN00036,UTR946995076243,2024-03-26,23:31:30,68040380973,Sunil Malik,ICICI Bank,32437664397,Manoj Tiwari,Kotak Mahindra Bank,7500,IMPS
TXN01267,UTR139144727349,2024-03-27,10:25:36,64162634588,Rajesh Sinha,SBI,35244533458,Sanjay Bhardwaj,Punjab National Bank,500,Cash Deposit
TXN00030,UTR727693168760,2024-03-27,16:25:16,68040380973,Sunil Malik,ICICI Bank,08198427361,Amit Verma,SBI,4000,IMPS
TXN00663,UTR312103412440,2024-03-27,20:18:53,18056893044,Ramesh Chandra Pandey,Punjab National Bank,71327117523,Ishita Bose,SBI,7500,UPI
TXN01364,UTR574869695636,2024-03-28,12:52:58,38708135078,Irfan Ali,Axis Bank,64281559570,Rohan Kapoor,HDFC Bank,1200,RTGS
TXN00315,UTR982826342964,2024-03-28,21:30:53,38037979360,Rohit Bansal,ICICI Bank,EXT082072761,Merchant/UPI Handle - Utility Payment,Payment Gateway,7500,NEFT
TXN01115,UTR412039133286,2024-03-29,19:36:07,93902439957,Aditya Rathore,Axis Bank,EXT082072761,Merchant/UPI Handle - Utility Payment,Payment Gateway,1200,IMPS
TXN00103,UTR317521352232,2024-03-29,20:29:52,EXT113160374,Employer Pvt Ltd - Salary A/c,HDFC Bank,55933722348,Vikas Tomar,ICICI Bank,35000,NEFT
TXN00654,UTR595327382343,2024-03-30,19:41:17,EXT113160374,Employer Pvt Ltd - Salary A/c,HDFC Bank,69705333835,Priya Singh,SBI,18000,NEFT
TXN00543,UTR102332631662,2024-03-30,20:30:29,EXT113160374,Employer Pvt Ltd - Salary A/c,HDFC Bank,44396022575,Chandu Meena,Axis Bank,60000,NEFT
TXN00873,UTR108711928427,2024-03-30,22:57:33,79909315319,Pranay Dutta Roy,Axis Bank,EXT082072761,Merchant/UPI Handle - Utility Payment,Payment Gateway,4000,UPI
TXN00113,UTR337189636139,2024-03-31,06:14:14,EXT113160374,Employer Pvt Ltd - Salary A/c,HDFC Bank,55933722348,Vikas Tomar,ICICI Bank,22000,NEFT
TXN01005,UTR830625491100,2024-03-31,08:19:15,EXT113160374,Employer Pvt Ltd - Salary A/c,HDFC Bank,64281559570,Rohan Kapoor,HDFC Bank,22000,NEFT
TXN00950,UTR355229818475,2024-03-31,09:22:55,EXT113160374,Employer Pvt Ltd - Salary A/c,HDFC Bank,41492355953,Arjun Mehta,ICICI Bank,45000,NEFT
TXN01207,UTR985890314930,2024-03-31,17:54:02,65117077513,Abid Khan,Kotak Mahindra Bank,EXT082072761,Merchant/UPI Handle - Utility Payment,Payment Gateway,7500,IMPS
TXN00401,UTR744237070241,2024-03-31,19:11:54,05606834229,Lakhan Singh Bhatti,SBI,EXT082072761,Merchant/UPI Handle - Utility Payment,Payment Gateway,1200,Cash Deposit
TXN00116,UTR333026802384,2024-04-01,07:12:07,EXT113160374,Employer Pvt Ltd - Salary A/c,HDFC Bank,42679916140,Imran Sheikh,HDFC Bank,35000,NEFT
TXN01299,UTR922306364421,2024-04-01,22:54:03,EXT113160374,Employer Pvt Ltd - Salary A/c,HDFC Bank,76092570588,Deepak Yadav,SBI,22000,NEFT
TXN00858,UTR484824233023,2024-04-02,10:24:02,EXT113160374,Employer Pvt Ltd - Salary A/c,HDFC Bank,94695183670,Vivek Malhotra,Axis Bank,22000,NEFT
TXN00597,UTR913708635903,2024-04-02,13:11:35,EXT113160374,Employer Pvt Ltd - Salary A/c,HDFC Bank,49471531912,Mahesh Chand Gupta,ICICI Bank,60000,NEFT
TXN01154,UTR759508171004,2024-04-02,21:22:33,09094330418,Karan Malhotra,HDFC Bank,54219677717,Deepak Chaudhary,ICICI Bank,1200,NEFT
TXN00015,UTR342731760099,2024-04-02,21:27:07,32412415786,Rakesh Kumar,SBI,35244533458,Sanjay Bhardwaj,Punjab National Bank,7500,Cash Deposit
TXN00816,UTR938362238327,2024-04-02,22:06:16,36247945967,Rekha Devi,Bank of Baroda,EXT082072761,Merchant/UPI Handle - Utility Payment,Payment Gateway,4000,IMPS
TXN00143,UTR497197099964,2024-04-03,10:19:28,EXT113160374,Employer Pvt Ltd - Salary A/c,HDFC Bank,54219677717,Deepak Chaudhary,ICICI Bank,22000,NEFT
TXN01256,UTR985782432929,2024-04-03,15:59:27,64162634588,Rajesh Sinha,SBI,43588299843,Kavya Reddy,HDFC Bank,500,IMPS
TXN00479,UTR513680217930,2024-04-03,16:12:50,90413217740,Pappu Solanki,Kotak Mahindra Bank,EXT082072761,Merchant/UPI Handle - Utility Payment,Payment Gateway,500,NEFT
TXN00650,UTR389537586882,2024-04-03,18:33:23,69705333835,Priya Singh,SBI,EXT082072761,Merchant/UPI Handle - Utility Payment,Payment Gateway,2500,Cash Withdrawal
TXN00054,UTR494761812743,2024-04-04,11:22:04,18633362450,Ajay Yadav,HDFC Bank,EXT082072761,Merchant/UPI Handle - Utility Payment,Payment Gateway,500,RTGS
TXN00294,UTR704941148384,2024-04-04,11:43:19,08198427361,Amit Verma,SBI,EXT082072761,Merchant/UPI Handle - Utility Payment,Payment Gateway,7500,Cash Deposit
TXN00433,UTR627879951228,2024-04-04,11:56:22,EXT113160374,Employer Pvt Ltd - Salary A/c,HDFC Bank,88481678051,Munna Tyagi,Punjab National Bank,18000,NEFT
TXN00812,UTR428569655642,2024-04-04,16:25:56,35244533458,Sanjay Bhardwaj,Punjab National Bank,EXT082072761,Merchant/UPI Handle - Utility Payment,Payment Gateway,2500,IMPS
TXN00275,UTR391531804604,2024-04-04,19:38:17,08198427361,Amit Verma,SBI,82760561101,Guddi Bai,SBI,2500,UPI
TXN00175,UTR728640035037,2024-04-04,23:46:23,EXT113160374,Employer Pvt Ltd - Salary A/c,HDFC Bank,43686792403,Salman Qureshi,SBI,45000,NEFT
TXN00056,UTR811092149759,2024-04-05,07:06:10,EXT113160374,Employer Pvt Ltd - Salary A/c,HDFC Bank,18633362450,Ajay Yadav,HDFC Bank,22000,NEFT
TXN01121,UTR317306683234,2024-04-05,07:11:35,EXT113160374,Employer Pvt Ltd - Salary A/c,HDFC Bank,71327117523,Ishita Bose,SBI,45000,NEFT
TXN00488,UTR728656280649,2024-04-05,07:46:22,90413217740,Pappu Solanki,Kotak Mahindra Bank,68040380973,Sunil Malik,ICICI Bank,500,IMPS
TXN00115,UTR514883342431,2024-04-05,20:42:06,42679916140,Imran Sheikh,HDFC Bank,41992454521,Anita Rani,Axis Bank,500,UPI
TXN00206,UTR652780764411,2024-04-05,21:19:04,65580053757,Kavita Devi,Bank of Baroda,EXT082072761,Merchant/UPI Handle - Utility Payment,Payment Gateway,4000,Cash Withdrawal
TXN00607,UTR411585281157,2024-04-05,22:51:36,EXT113160374,Employer Pvt Ltd - Salary A/c,HDFC Bank,49471531912,Mahesh Chand Gupta,ICICI Bank,60000,NEFT
TXN00846,UTR242803557403,2024-04-06,13:54:27,94695183670,Vivek Malhotra,Axis Bank,71327117523,Ishita Bose,SBI,2500,IMPS
TXN00374,UTR129546785125,2024-04-06,14:38:12,EXT113160374,Employer Pvt Ltd - Salary A/c,HDFC Bank,80450816830,Chhotu Ansari,SBI,45000,NEFT
TXN00369,UTR532123157864,2024-04-06,15:25:16,80450816830,Chhotu Ansari,SBI,09094330418,Karan Malhotra,HDFC Bank,2500,IMPS
TXN00367,UTR931203661668,2024-04-06,20:05:35,80450816830,Chhotu Ansari,SBI,EXT082072761,Merchant/UPI Handle - Utility Payment,Payment Gateway,500,UPI
TXN00440,UTR426797674008,2024-04-07,06:38:18,88481678051,Munna Tyagi,Punjab National Bank,38708135078,Irfan Ali,Axis Bank,1200,UPI
TXN01064,UTR971877213516,2024-04-07,12:38:32,86831863542,Neha Agarwal,Axis Bank,71327117523,Ishita Bose,SBI,4000,RTGS
TXN00268,UTR112073226719,2024-04-07,13:37:08,EXT113160374,Employer Pvt Ltd - Salary A/c,HDFC Bank,64733283579,Nikhil Sharma,Punjab National Bank,45000,NEFT
TXN00137,UTR331213873224,2024-04-07,17:03:35,EXT113160374,Employer Pvt Ltd - Salary A/c,HDFC Bank,54219677717,Deepak Chaudhary,ICICI Bank,35000,NEFT
TXN01360,UTR510707916327,2024-04-07,18:00:07,EXT113160374,Employer Pvt Ltd - Salary A/c,HDFC Bank,38708135078,Irfan Ali,Axis Bank,45000,NEFT
TXN00327,UTR915650031718,2024-04-07,23:17:23,38037979360,Rohit Bansal,ICICI Bank,EXT082072761,Merchant/UPI Handle - Utility Payment,Payment Gateway,4000,NEFT
TXN00259,UTR825234487950,2024-04-08,07:22:54,EXT113160374,Employer Pvt Ltd - Salary A/c,HDFC Bank,64733283579,Nikhil Sharma,Punjab National Bank,60000,NEFT
TXN00738,UTR196875444644,2024-04-08,15:54:40,78264257436,Naveen Kumar Sharma,SBI,EXT082072761,Merchant/UPI Handle - Utility Payment,Payment Gateway,1200,Cash Deposit
TXN01328,UTR539025715647,2024-04-08,17:30:03,76092570588,Deepak Yadav,SBI,42679916140,Imran Sheikh,HDFC Bank,4000,RTGS
TXN00826,UTR508718185572,2024-04-08,22:21:27,36247945967,Rekha Devi,Bank of Baroda,EXT082072761,Merchant/UPI Handle - Utility Payment,Payment Gateway,4000,UPI
TXN00142,UTR744767428651,2024-04-08,22:27:05,EXT113160374,Employer Pvt Ltd - Salary A/c,HDFC Bank,54219677717,Deepak Chaudhary,ICICI Bank,35000,NEFT
TXN00482,UTR589069586062,2024-04-08,23:51:35,EXT113160374,Employer Pvt Ltd - Salary A/c,HDFC Bank,90413217740,Pappu Solanki,Kotak Mahindra Bank,35000,NEFT
TXN00594,UTR305303852945,2024-04-09,06:45:11,EXT113160374,Employer Pvt Ltd - Salary A/c,HDFC Bank,49471531912,Mahesh Chand Gupta,ICICI Bank,35000,NEFT
TXN00326,UTR897237304746,2024-04-09,09:07:57,EXT113160374,Employer Pvt Ltd - Salary A/c,HDFC Bank,38037979360,Rohit Bansal,ICICI Bank,22000,NEFT
TXN00003,UTR347712538900,2024-04-09,19:06:57,32412415786,Rakesh Kumar,SBI,38037979360,Rohit Bansal,ICICI Bank,2500,NEFT
TXN00460,UTR961461535168,2024-04-10,12:04:45,EXT113160374,Employer Pvt Ltd - Salary A/c,HDFC Bank,90413217740,Pappu Solanki,Kotak Mahindra Bank,18000,NEFT
TXN00604,UTR114295106745,2024-04-10,18:06:14,EXT113160374,Employer Pvt Ltd - Salary A/c,HDFC Bank,49471531912,Mahesh Chand Gupta,ICICI Bank,35000,NEFT
TXN00961,UTR927894832934,2024-04-10,21:47:17,41492355953,Arjun Mehta,ICICI Bank,10884387334,Yash Chopra,Bank of Baroda,4000,NEFT
TXN00149,UTR551694542029,2024-04-10,22:49:10,EXT113160374,Employer Pvt Ltd - Salary A/c,HDFC Bank,54219677717,Deepak Chaudhary,ICICI Bank,60000,NEFT
TXN00664,UTR726431287600,2024-04-10,22:58:41,18056893044,Ramesh Chandra Pandey,Punjab National Bank,EXT082072761,Merchant/UPI Handle - Utility Payment,Payment Gateway,7500,NEFT
TXN01126,UTR798481178044,2024-04-11,12:31:37,71327117523,Ishita Bose,SBI,05606834229,Lakhan Singh Bhatti,SBI,1200,IMPS
TXN00411,UTR220372337260,2024-04-11,22:20:28,05606834229,Lakhan Singh Bhatti,SBI,41492355953,Arjun Mehta,ICICI Bank,2500,Cash Deposit
TXN01149,UTR603819655514,2024-04-11,22:48:21,EXT113160374,Employer Pvt Ltd - Salary A/c,HDFC Bank,09094330418,Karan Malhotra,HDFC Bank,45000,NEFT
TXN01061,UTR678149591047,2024-04-11,23:39:35,86831863542,Neha Agarwal,Axis Bank,88481678051,Munna Tyagi,Punjab National Bank,4000,Cash Deposit
TXN00874,UTR461121576599,2024-04-12,11:51:24,79909315319,Pranay Dutta Roy,Axis Bank,EXT082072761,Merchant/UPI Handle - Utility Payment,Payment Gateway,1200,IMPS
TXN01037,UTR576088966112,2024-04-13,12:39:41,EXT113160374,Employer Pvt Ltd - Salary A/c,HDFC Bank,86831863542,Neha Agarwal,Axis Bank,60000,NEFT
TXN00706,UTR194827147378,2024-04-13,18:33:36,EXT113160374,Employer Pvt Ltd - Salary A/c,HDFC Bank,41992454521,Anita Rani,Axis Bank,35000,NEFT
TXN00569,UTR397800239506,2024-04-13,21:03:27,24798510995,Rustam Ali,Bank of Baroda,EXT082072761,Merchant/UPI Handle - Utility Payment,Payment Gateway,500,Cash Deposit
TXN00995,UTR715303338349,2024-04-13,21:56:00,23680352646,Simran Kaur,Kotak Mahindra Bank,EXT082072761,Merchant/UPI Handle - Utility Payment,Payment Gateway,500,UPI
TXN00834,UTR809968294322,2024-04-14,13:38:19,EXT113160374,Employer Pvt Ltd - Salary A/c,HDFC Bank,36247945967,Rekha Devi,Bank of Baroda,45000,NEFT
TXN00989,UTR618356994528,2024-04-14,18:17:56,23680352646,Simran Kaur,Kotak Mahindra Bank,EXT082072761,Merchant/UPI Handle - Utility Payment,Payment Gateway,4000,IMPS
TXN00052,UTR720948719276,2024-04-14,22:37:26,68040380973,Sunil Malik,ICICI Bank,35059071685,Sunita Rawat,HDFC Bank,2500,RTGS
TXN01048,UTR991228469438,2024-04-14,23:28:51,86831863542,Neha Agarwal,Axis Bank,EXT082072761,Merchant/UPI Handle - Utility Payment,Payment Gateway,500,UPI
TXN00396,UTR457465805579,2024-04-15,11:53:54,05606834229,Lakhan Singh Bhatti,SBI,EXT082072761,Merchant/UPI Handle - Utility Payment,Payment Gateway,500,UPI
TXN00041,UTR500436195779,2024-04-15,12:58:16,EXT113160374,Employer Pvt Ltd - Salary A/c,HDFC Bank,68040380973,Sunil Malik,ICICI Bank,60000,NEFT
TXN00199,UTR560391536960,2024-04-15,12:59:02,65580053757,Kavita Devi,Bank of Baroda,EXT082072761,Merchant/UPI Handle - Utility Payment,Payment Gateway,2500,Cash Deposit
TXN00299,UTR293015775802,2024-04-15,13:45:38,08198427361,Amit Verma,SBI,68040380973,Sunil Malik,ICICI Bank,4000,NEFT
TXN01128,UTR292843888826,2024-04-15,15:29:51,71327117523,Ishita Bose,SBI,32412415786,Rakesh Kumar,SBI,7500,NEFT
TXN00603,UTR484603626661,2024-04-15,15:34:54,EXT113160374,Employer Pvt Ltd - Salary A/c,HDFC Bank,49471531912,Mahesh Chand Gupta,ICICI Bank,18000,NEFT
TXN00069,UTR249895604099,2024-04-15,22:57:32,EXT113160374,Employer Pvt Ltd - Salary A/c,HDFC Bank,18633362450,Ajay Yadav,HDFC Bank,35000,NEFT
TXN00688,UTR146914466242,2024-04-16,09:42:46,41992454521,Anita Rani,Axis Bank,EXT082072761,Merchant/UPI Handle - Utility Payment,Payment Gateway,2500,IMPS
TXN01155,UTR420684644985,2024-04-16,14:40:01,09094330418,Karan Malhotra,HDFC Bank,EXT082072761,Merchant/UPI Handle - Utility Payment,Payment Gateway,4000,IMPS
TXN01265,UTR108160850333,2024-04-17,08:17:02,64162634588,Rajesh Sinha,SBI,80450816830,Chhotu Ansari,SBI,500,RTGS
TXN00204,UTR333782108636,2024-04-17,09:24:13,65580053757,Kavita Devi,Bank of Baroda,23680352646,Simran Kaur,Kotak Mahindra Bank,1200,NEFT
TXN01382,UTR181149095807,2024-04-17,12:58:12,68815550998,Poonam Chawla,Punjab National Bank,EXT082072761,Merchant/UPI Handle - Utility Payment,Payment Gateway,1200,IMPS
TXN00167,UTR820645485072,2024-04-17,13:58:53,54219677717,Deepak Chaudhary,ICICI Bank,41492355953,Arjun Mehta,ICICI Bank,7500,NEFT
TXN00523,UTR177549381420,2024-04-17,21:14:56,EXT113160374,Employer Pvt Ltd - Salary A/c,HDFC Bank,82760561101,Guddi Bai,SBI,45000,NEFT
TXN00046,UTR642423413200,2024-04-18,06:29:58,EXT113160374,Employer Pvt Ltd - Salary A/c,HDFC Bank,68040380973,Sunil Malik,ICICI Bank,35000,NEFT
TXN00842,UTR521330380941,2024-04-18,09:30:21,94695183670,Vivek Malhotra,Axis Bank,10884387334,Yash Chopra,Bank of Baroda,500,Cash Deposit
TXN00349,UTR409203719742,2024-04-18,09:47:18,80450816830,Chhotu Ansari,SBI,EXT082072761,Merchant/UPI Handle - Utility Payment,Payment Gateway,500,UPI
TXN01055,UTR619259145080,2024-04-18,16:22:03,86831863542,Neha Agarwal,Axis Bank,05606834229,Lakhan Singh Bhatti,SBI,500,RTGS
TXN00979,UTR625390553244,2024-04-19,06:40:04,23680352646,Simran Kaur,Kotak Mahindra Bank,EXT082072761,Merchant/UPI Handle - Utility Payment,Payment Gateway,4000,RTGS
TXN00161,UTR522772551595,2024-04-19,08:00:56,EXT113160374,Employer Pvt Ltd - Salary A/c,HDFC Bank,54219677717,Deepak Chaudhary,ICICI Bank,60000,NEFT
TXN01441,UTR360744942155,2024-04-19,09:25:38,54219677717,Deepak Chaudhary,ICICI Bank,65580053757,Kavita Devi,Bank of Baroda,40000,Cash Deposit
TXN01395,UTR108980116851,2024-04-19,11:40:47,68815550998,Poonam Chawla,Punjab National Bank,EXT082072761,Merchant/UPI Handle - Utility Payment,Payment Gateway,2500,RTGS
TXN00263,UTR620764974409,2024-04-19,15:15:30,64733283579,Nikhil Sharma,Punjab National Bank,EXT082072761,Merchant/UPI Handle - Utility Payment,Payment Gateway,2500,Cash Deposit
TXN00245,UTR817157405528,2024-04-19,20:44:22,64733283579,Nikhil Sharma,Punjab National Bank,EXT082072761,Merchant/UPI Handle - Utility Payment,Payment Gateway,1200,UPI
TXN00035,UTR416716903688,2024-04-20,06:42:07,68040380973,Sunil Malik,ICICI Bank,88481678051,Munna Tyagi,Punjab National Bank,2500,IMPS
TXN00638,UTR609902595342,2024-04-20,07:02:49,69705333835,Priya Singh,SBI,EXT082072761,Merchant/UPI Handle - Utility Payment,Payment Gateway,4000,Cash Withdrawal
TXN00437,UTR732577892829,2024-04-20,07:19:12,88481678051,Munna Tyagi,Punjab National Bank,EXT082072761,Merchant/UPI Handle - Utility Payment,Payment Gateway,2500,UPI
TXN01445,UTR498722994761,2024-04-20,07:39:37,65580053757,Kavita Devi,Bank of Baroda,79909315319,Pranay Dutta Roy,Axis Bank,8016,UPI
TXN00353,UTR872078754940,2024-04-20,10:58:12,80450816830,Chhotu Ansari,SBI,24798510995,Rustam Ali,Bank of Baroda,500,IMPS
TXN00027,UTR962051601250,2024-04-20,11:00:03,68040380973,Sunil Malik,ICICI Bank,65117077513,Abid Khan,Kotak Mahindra Bank,4000,NEFT
TXN00652,UTR454275877764,2024-04-20,21:17:11,69705333835,Priya Singh,SBI,EXT082072761,Merchant/UPI Handle - Utility Payment,Payment Gateway,2500,RTGS
TXN00097,UTR277755326821,2024-04-20,23:11:08,EXT113160374,Employer Pvt Ltd - Salary A/c,HDFC Bank,55933722348,Vikas Tomar,ICICI Bank,22000,NEFT
TXN00236,UTR931148657003,2024-04-20,23:44:13,64733283579,Nikhil Sharma,Punjab National Bank,EXT082072761,Merchant/UPI Handle - Utility Payment,Payment Gateway,1200,IMPS
TXN00996,UTR884801779246,2024-04-21,06:25:33,64281559570,Rohan Kapoor,HDFC Bank,75073462726,Meera Nair,ICICI Bank,1200,NEFT
TXN01332,UTR282340725683,2024-04-21,08:16:27,76092570588,Deepak Yadav,SBI,36247945967,Rekha Devi,Bank of Baroda,2500,RTGS
TXN00492,UTR339542957161,2024-04-21,15:05:26,90413217740,Pappu Solanki,Kotak Mahindra Bank,65580053757,Kavita Devi,Bank of Baroda,500,Cash Withdrawal
TXN01211,UTR787713337995,2024-04-21,18:08:49,EXT113160374,Employer Pvt Ltd - Salary A/c,HDFC Bank,65117077513,Abid Khan,Kotak Mahindra Bank,18000,NEFT
TXN01111,UTR804074837427,2024-04-21,21:21:43,EXT113160374,Employer Pvt Ltd - Salary A/c,HDFC Bank,93902439957,Aditya Rathore,Axis Bank,45000,NEFT
TXN00005,UTR728006817867,2024-04-21,22:59:20,32412415786,Rakesh Kumar,SBI,EXT082072761,Merchant/UPI Handle - Utility Payment,Payment Gateway,4000,Cash Withdrawal
